X,Y,Z
-29.3842,-117.8331,-22.5582
-29.5209,-117.9631,-22.5582
-29.6673,-118.093,-22.5582
-29.8235,-118.223,-22.5582
-29.9894,-118.3344,-22.5582
-30.1456,-118.4643,-22.5582
-30.3018,-118.5757,-22.5582
-30.4775,-118.6871,-22.5582
-30.6434,-118.7985,-22.5582
-30.8191,-118.9098,-22.5582
-30.9851,-119.0027,-22.5582
-31.1706,-119.114,-22.5582
-31.3463,-119.2069,-22.5582
-31.5122,-119.3182,-22.5582
-31.6879,-119.4111,-22.5582
-31.8636,-119.5224,-22.5582
-32.0393,-119.6153,-22.5582
-32.2053,-119.7267,-22.5582
-32.381,-119.8195,-22.5582
-32.5469,-119.9494,-22.5582
-32.7227,-120.0422,-22.5582
-32.8788,-120.1536,-22.5582
-33.0448,-120.2836,-22.5582
-33.2107,-120.395,-22.5582
-33.3767,-120.5249,-22.5582
-33.5426,-120.6363,-22.5582
-33.7183,-120.7291,-22.5582
-33.894,-120.8405,-22.5582
-34.06,-120.9519,-22.5582
-34.2357,-121.0633,-22.5582
-34.4114,-121.1746,-22.5582
-34.5773,-121.286,-22.5582
-34.7531,-121.3788,-22.5582
-34.9288,-121.4902,-22.5583
-35.1045,-121.6016,-22.5583
-35.2704,-121.713,-22.5583
-35.4461,-121.8058,-22.5583
-35.6218,-121.9172,-22.5583
-35.7975,-122.0286,-22.5583
-35.9635,-122.14,-22.5583
-36.1392,-122.2328,-22.5583
-36.3149,-122.3442,-22.5583
-36.4906,-122.4555,-22.5583
-36.6663,-122.5484,-22.5583
-36.8323,-122.6597,-22.6583
-37.008,-122.7526,-22.5583
-37.1837,-122.8454,-22.6583
-37.3594,-122.9568,-22.6583
-37.5351,-123.0496,-22.6583
-37.7108,-123.1424,-22.6583
-37.8865,-123.2538,-22.6583
-38.0622,-123.3652,-22.6583
-38.2477,-123.458,-22.6583
-38.4234,-123.5508,-22.6583
-38.5991,-123.6436,-22.6583
-38.7748,-123.755,-22.6583
-38.9505,-123.8478,-22.6583
-39.1262,-123.9592,-22.6583
-39.3117,-124.052,-22.6583
-39.4874,-124.1449,-22.6583
-39.6631,-124.2377,-22.6583
-39.8388,-124.3491,-22.6583
-40.0243,-124.4419,-22.6583
-40.2,-124.5347,-22.6583
-40.3757,-124.6461,-22.6583
-40.5612,-124.7389,-22.6583
-40.7369,-124.8317,-22.6584
-40.9224,-124.9245,-22.7584
-41.1078,-125.0359,-22.7584
-41.2835,-125.1287,-22.7584
-41.4592,-125.2401,-22.7584
-41.6154,-125.3515,-22.7584
-41.7911,-125.4629,-22.7584
-41.9571,-125.5928,-22.7584
-42.123,-125.7228,-22.7584
-42.2792,-125.8527,-22.7584
-42.4452,-125.9827,-22.7584
-42.6013,-126.1126,-22.7584
-42.7575,-126.2611,-22.7584
-42.9137,-126.3911,-22.7584
-43.0601,-126.5396,-22.7584
-43.2066,-126.6881,-22.7584
-43.3432,-126.8366,-22.7584
-43.4994,-126.9851,-22.8584
-43.6361,-127.1522,-22.8584
-43.7727,-127.3007,-22.8584
-43.8996,-127.4492,-22.8584
-44.0363,-127.6163,-22.8584
-44.1534,-127.8019,-22.8584
-44.2803,-127.9504,-22.8584
-44.3975,-128.1361,-22.8584
-44.5146,-128.3032,-22.8584
-44.6318,-128.4702,-22.8584
-44.7391,-128.6373,-22.9585
-44.8465,-128.823,-22.9585
-44.9539,-128.99,-22.9585
-45.0418,-129.1757,-22.9585
-45.1491,-129.3613,-22.9585
-45.237,-129.5469,-22.9585
-45.3249,-129.7326,-22.9585
-45.4029,-129.9182,-22.9585
-45.481,-130.1224,-22.9585
-45.5591,-130.3081,-22.9585
-45.6275,-130.4937,-22.9585
-45.6958,-130.6979,-22.9585
-45.7641,-130.8836,-23.0585
-45.8227,-131.0692,-23.0585
-45.8813,-131.2734,-23.0585
-45.9398,-131.4776,-23.0585
-45.9887,-131.6632,-23.0585
-46.0277,-131.8675,-23.0585
-46.0668,-132.0717,-23.0585
-46.0863,-132.2573,-23.0585
-46.1058,-132.4615,-23.0585
-46.1351,-132.6657,-23.0585
-46.1351,-132.8699,-23.0585
-46.1449,-133.0556,-23.1586
-46.1546,-133.2598,-23.1586
-46.1351,-133.464,-23.1586
-46.1351,-133.6682,-23.1586
-46.1253,-133.8724,-23.1586
-46.1156,-134.058,-23.1586
-46.0961,-134.2622,-23.1586
-46.0961,-134.4664,-23.1586
-46.0668,-134.6706,-23.1586
-46.0473,-134.8748,-23.1586
-46.0277,-135.079,-23.1586
-45.9985,-135.2833,-23.1586
-45.9692,-135.4875,-23.1586
-45.9399,-135.6917,-23.1586
-45.9009,-135.8959,-23.1586
-45.8716,-136.1001,-23.2586
-45.8228,-136.2857,-23.1586
-45.7935,-136.5085,-23.2586
-45.7447,-136.6941,-23.2586
-45.6959,-136.8983,-23.2586
-45.6471,-137.1025,-23.2586
-45.5885,-137.3067,-23.2586
-45.5495,-137.511,-23.2586
-45.4909,-137.6966,-23.2586
-45.4421,-137.9008,-23.2587
-45.3835,-138.105,-23.2587
-45.3347,-138.2907,-23.2587
-45.2859,-138.4949,-23.2587
-45.2273,-138.6805,-23.2587
-45.159,-138.8847,-23.2587
-45.1102,-139.0889,-23.2587
-45.0516,-139.2746,-23.2587
-44.9833,-139.4788,-23.2587
-44.9247,-139.6644,-23.2587
-44.8662,-139.85,-23.2587
-44.7978,-140.0543,-23.2587
-44.7393,-140.2399,-23.2587
-44.6807,-140.4441,-23.2587
