X,Y,Z
nan,nan,nan
nan,nan,nan
-85.9707,-73.334,1.642
-85.8442,-73.5946,1.642
-85.6879,-73.9288,1.642
-85.405,-73.9845,1.642
-85.2386,-74.0959,1.642
-85.1022,-74.2808,1.642
-85.0337,-74.6706,1.642
-84.8486,-75.0048,1.642
-84.6436,-75.3579,1.642
-84.5944,-75.4503,1.642
-84.5651,-75.5996,1.642
-84.585,-75.6363,1.642
-84.6629,-75.5806,1.642
-84.858,-75.506,1.642
-84.8094,-75.2275,1.642
-84.8193,-75.1718,1.642
-84.8386,-75.2275,1.642
-84.7801,-75.3022,1.642
-84.7508,-75.5249,1.642
-84.7608,-75.7845,1.642
-84.7701,-75.9894,1.642
-84.6922,-76.1932,1.642
-84.7022,-76.5642,1.642
-84.7608,-76.8805,1.642
-84.8779,-77.1768,1.642
-84.9851,-77.326,1.642
-84.9365,-77.3995,1.642
-84.8973,-77.5109,1.642
-84.7508,-77.5109,1.642
-84.663,-77.6602,1.642
-84.663,-77.9565,1.642
